n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        h max (m)
 24794.20000    71.07070     0.00000     4.34560
 24870.00000    71.07070     0.00000     3.70890
 24945.80000    71.07070     0.00000     5.18350
 25021.60000    71.07070     0.00000     3.09850
 25097.40000    71.07070     0.00000     3.18370
 25173.20000    71.07070     0.00000     3.32780
 25249.00000    71.07070     0.00000     3.20410
 25324.80000    71.07070     0.00000     3.02290
 25400.70000    71.07070     0.00000     3.07410
 25476.50000    71.07070     0.00000     3.00970
 25552.30000    71.07070     0.00000     3.00350
 25628.10000    71.07070     0.00000     2.99740
 25703.90000    71.07070     0.00000     2.99980
 25779.70000    71.07070     0.00000     3.08410
 24727.40000    80.06090     0.00000     2.97530
 24718.40000    84.06360     0.00000     3.17450
 24674.90000   103.41500     0.00000     4.11690
 24642.60000   117.81600     0.00000     3.78510
 24622.50000   126.76900     0.00000     4.51810
 24642.60000   146.87900     0.00000     3.90500
 24718.40000   146.87900     0.00000     3.01500
 24794.20000   146.87900     0.00000     3.34700
 24870.00000   146.87900     0.00000     3.16250
 24945.80000   146.87900     0.00000     3.62510
 25021.60000   146.87900     0.00000     3.19250
 25097.40000   146.87900     0.00000     3.00910
 25173.20000   146.87900     0.00000     3.01030
 25249.00000   146.87900     0.00000     3.03140
 25324.80000   146.87900     0.00000     3.00520
 25400.70000   146.87900     0.00000     3.02910
 25476.50000   146.87900     0.00000     3.00360
 25552.30000   146.87900     0.00000     3.00240
 25628.10000   146.87900     0.00000     3.00640
 25703.90000   146.87900     0.00000     3.02650
 25779.70000   146.87900     0.00000     3.24860
 24577.30000   146.87900     0.00000     2.95510
 24570.00000   150.12400     0.00000     5.79440
 24566.80000   151.56800     0.00000     5.82390
 24517.60000   173.47800     0.00000     0.00000
 24491.00000   185.32000     0.00000     0.00000
 24465.10000   196.83200     0.00000     5.88250
 24415.10000   219.07200     0.00000     4.91460
 24412.60000   220.18600     0.00000     4.91130
 24415.10000   222.68800     0.00000     4.91460
 24491.00000   222.68800     0.00000     3.57870
 24566.80000   222.68800     0.00000     3.19540
 24642.60000   222.68800     0.00000     3.03390
 24718.40000   222.68800     0.00000     3.29320
 24794.20000   222.68800     0.00000     4.21840
 24870.00000   222.68800     0.00000     3.84680
 24945.80000   222.68800     0.00000     3.00790
 25021.60000   222.68800     0.00000     3.42960
 25097.40000   222.68800     0.00000     3.01020
 25173.20000   222.68800     0.00000     3.00800
 25249.00000   222.68800     0.00000     3.18590
 25324.80000   222.68800     0.00000     3.01340
 25400.70000   222.68800     0.00000     3.00390
 25476.50000   222.68800     0.00000     2.99770
 25552.30000   222.68800     0.00000     3.01430
 25628.10000   222.68800     0.00000     2.99980
 25703.90000   222.68800     0.00000     3.00370
 25779.70000   222.68800     0.00000     3.28160
 24407.00000   222.68800     0.00000     4.92320
 24360.20000   243.54000     0.00000     3.80340
 24339.30000   252.82400     0.00000     0.00000
 24307.70000   266.89500     0.00000     2.80640
 24263.50000   286.57700     0.00000     5.65790
 24255.30000   290.24900     0.00000     5.86190
 24263.50000   298.49700     0.00000     4.86960
 24339.30000   298.49700     0.00000     3.22410
 24415.10000   298.49700     0.00000     3.52890
 24491.00000   298.49700     0.00000     3.04740
 24566.80000   298.49700     0.00000     3.03820
 24642.60000   298.49700     0.00000     4.42690
 24718.40000   298.49700     0.00000     3.16010
 24794.20000   298.49700     0.00000     3.00200
 24870.00000   298.49700     0.00000     3.00660
 24945.80000   298.49700     0.00000     3.97030
 25021.60000   298.49700     0.00000     3.00650
 25097.40000   298.49700     0.00000     3.00620
 25173.20000   298.49700     0.00000     3.00780
 25249.00000   298.49700     0.00000     3.00660
 25324.80000   298.49700     0.00000     3.00550
 25400.70000   298.49700     0.00000     3.00590
 25476.50000   298.49700     0.00000     3.01230
 25552.30000   298.49700     0.00000     3.00810
 25628.10000   298.49700     0.00000     3.00100
 25703.90000   298.49700     0.00000     3.02180
 25779.70000   298.49700     0.00000     3.14350
 24236.80000   298.49700     0.00000     4.00440
 24202.80000   313.60400     0.00000     3.59170
 24187.70000   320.33000     0.00000     0.00000
 24150.40000   336.95800     0.00000     1.71610
 24111.90000   354.08200     0.00000     4.18850
 24097.90000   360.31200     0.00000     4.14400
 24111.90000   374.30600     0.00000     4.21400
 24187.70000   374.30600     0.00000     3.49460
 24263.50000   374.30600     0.00000     3.30480
 24339.30000   374.30600     0.00000     3.54820
 24415.10000   374.30600     0.00000     3.19480
 24491.00000   374.30600     0.00000     3.54330
 24566.80000   374.30600     0.00000     3.11400
 24642.60000   374.30600     0.00000     3.09840
 24718.40000   374.30600     0.00000     3.04730
 24794.20000   374.30600     0.00000     2.99950
 24870.00000   374.30600     0.00000     3.00850
 24945.80000   374.30600     0.00000     3.44780
 25021.60000   374.30600     0.00000     3.22730
 25097.40000   374.30600     0.00000     3.00330
 25173.20000   374.30600     0.00000     3.00640
 25249.00000   374.30600     0.00000     3.15580
 25324.80000   374.30600     0.00000     3.03410
 25400.70000   374.30600     0.00000     3.00400
 25476.50000   374.30600     0.00000     3.00270
 25552.30000   374.30600     0.00000     3.00230
 25628.10000   374.30600     0.00000     3.00560
 25703.90000   374.30600     0.00000     3.27490
 25779.70000   374.30600     0.00000     3.01510
 24066.50000   374.30600     0.00000     3.53110
 24045.50000   383.66600     0.00000     3.20340
 24036.10000   387.83400     0.00000     4.69360
 23993.00000   407.02000     0.00000     3.63270
 23960.30000   421.58600     0.00000     4.47800
 23940.60000   430.37500     0.00000     4.97410
 23960.30000   450.11400     0.00000     3.97750
 24036.10000   450.11400     0.00000     3.03840
 24111.90000   450.11400     0.00000     4.02660
 24187.70000   450.11400     0.00000     3.91430
 24263.50000   450.11400     0.00000     5.09150
 24339.30000   450.11400     0.00000     3.00460
 24415.10000   450.11400     0.00000     3.49180
 24491.00000   450.11400     0.00000     3.03630
 24566.80000   450.11400     0.00000     3.57870
 24642.60000   450.11400     0.00000     3.04080
 24718.40000   450.11400     0.00000     3.00930
