n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q(m^2/s)
 24794.20000    71.07070     0.00000   291.38110
 24870.00000    71.07070     0.00000  9918.88870
 24945.80000    71.07070     0.00000 13138.61820
 25021.60000    71.07070     0.00000   241.85150
 25097.40000    71.07070     0.00000   303.69690
 25173.20000    71.07070     0.00000   226.34950
 25249.00000    71.07070     0.00000   413.22650
 25324.80000    71.07070     0.00000   256.45710
 25400.70000    71.07070     0.00000   293.91340
 25476.50000    71.07070     0.00000   288.91460
 25552.30000    71.07070     0.00000   225.06480
 25628.10000    71.07070     0.00000   222.76380
 25703.90000    71.07070     0.00000   236.60130
 25779.70000    71.07070     0.00000   267.39250
 24727.40000    80.06090     0.00000   453.29420
 24718.40000    84.06360     0.00000   615.59770
 24674.90000   103.41500     0.00000   246.54500
 24642.60000   117.81600     0.00000   307.28990
 24622.50000   126.76900     0.00000     0.00000
 24642.60000   146.87900     0.00000   252.59580
 24718.40000   146.87900     0.00000   251.11710
 24794.20000   146.87900     0.00000   273.66270
 24870.00000   146.87900     0.00000   391.05520
 24945.80000   146.87900     0.00000   267.19730
 25021.60000   146.87900     0.00000   404.22220
 25097.40000   146.87900     0.00000   258.72680
 25173.20000   146.87900     0.00000   286.92560
 25249.00000   146.87900     0.00000   247.24000
 25324.80000   146.87900     0.00000   317.26980
 25400.70000   146.87900     0.00000   263.18840
 25476.50000   146.87900     0.00000   223.81090
 25552.30000   146.87900     0.00000   247.53360
 25628.10000   146.87900     0.00000  7049.80180
 25703.90000   146.87900     0.00000  3008.04760
 25779.70000   146.87900     0.00000   280.44650
 24577.30000   146.87900     0.00000   234.64840
 24570.00000   150.12400     0.00000   235.42080
 24566.80000   151.56800     0.00000   235.42630
 24517.60000   173.47800     0.00000     0.00000
 24491.00000   185.32000     0.00000   255.26470
 24465.10000   196.83200     0.00000   263.37040
 24415.10000   219.07200     0.00000   792.16470
 24412.60000   220.18600     0.00000   791.85630
 24415.10000   222.68800     0.00000   792.16470
 24491.00000   222.68800     0.00000   332.06800
 24566.80000   222.68800     0.00000   277.11720
 24642.60000   222.68800     0.00000   291.59070
 24718.40000   222.68800     0.00000   236.04130
 24794.20000   222.68800     0.00000   237.96480
 24870.00000   222.68800     0.00000   254.07220
 24945.80000   222.68800     0.00000   259.34930
 25021.60000   222.68800     0.00000   229.36500
 25097.40000   222.68800     0.00000   293.81650
 25173.20000   222.68800     0.00000   225.15180
 25249.00000   222.68800     0.00000   223.44150
 25324.80000   222.68800     0.00000   264.19970
 25400.70000   222.68800     0.00000   223.56800
 25476.50000   222.68800     0.00000   237.46290
 25552.30000   222.68800     0.00000   346.65240
 25628.10000   222.68800     0.00000   235.87980
