n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q_max(m^2/s)
  6372.67000  7722.53000     0.00000     0.00000
 15090.70000  7879.37000     0.00000     0.00000
 11072.80000  9016.50000     0.00000     0.00000
 10238.90000  7348.71000     0.00000     0.00000
  9101.78000  8410.03000     0.00000     0.00000
 23657.10000  5680.92000     0.00000  1201.06530
 22065.10000  3937.31000     0.00000   915.60880
 19866.60000  6893.85000     0.00000     0.00000
 20245.70000  2648.57000     0.00000  1049.62160
 12816.40000  9698.78000     0.00000     0.00000
 24111.90000  6363.19000     0.00000     0.00000
  6448.48000  7727.75000     0.00000     0.00000
 15166.50000  7879.37000     0.00000     0.00000
 11148.60000  9016.50000     0.00000     0.00000
 10314.70000  7348.71000     0.00000     0.00000
  9177.59000  8410.03000     0.00000     0.00000
 23732.90000  5680.92000     0.00000  1201.04970
 22140.90000  3937.31000     0.00000   916.83210
 19942.40000  6893.85000     0.00000     0.00000
 18904.90000  2672.38000     0.00000   907.80640
 12892.20000  9698.78000     0.00000     0.00000
 24187.70000  6363.19000     0.00000     0.00000
  6384.77000  7727.75000     0.00000     0.00000
 15242.30000  7879.37000     0.00000     0.00000
 11224.40000  9016.50000     0.00000     0.00000
 10390.50000  7348.71000     0.00000   541.38370
  9253.40000  8410.03000     0.00000     0.00000
 23808.70000  5680.92000     0.00000  1201.03650
 22216.70000  3937.31000     0.00000   916.67880
 20018.20000  6893.85000     0.00000     0.00000
 20321.50000  2648.57000     0.00000  1049.62940
 12968.00000  9698.78000     0.00000     0.00000
 24263.50000  6363.19000     0.00000     0.00000
  6145.24000  7651.94000     0.00000     0.00000
 15318.10000  7879.37000     0.00000     0.00000
 11300.20000  9016.50000     0.00000     0.00000
 10466.30000  7348.71000     0.00000   595.09300
  9329.21000  8410.03000     0.00000     0.00000
 23884.50000  5680.92000     0.00000  1201.02750
 22292.50000  3937.31000     0.00000   953.97750
 20094.00000  6893.85000     0.00000     0.00000
 20397.30000  2648.57000     0.00000  1049.65550
 13043.80000  9698.78000     0.00000     0.00000
 24339.30000  6363.19000     0.00000     0.00000
  6221.05000  7651.94000     0.00000     0.00000
 15393.90000  7879.37000     0.00000     0.00000
 11376.00000  9016.50000     0.00000     0.00000
 10542.10000  7348.71000     0.00000   623.73980
